Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tomtabacken A;74300;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-11-01 00:00:00;2021-06-03 12:00:00;355.895;57.4981;14.4645

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2021-01-23 06:00:01;2021-01-24 06:00:00;2021-01-23;0.0;G;;Data från senaste fyra månaderna
2021-01-24 06:00:01;2021-01-25 06:00:00;2021-01-24;0.0;G;;Tidsperiod (fr.o.m.) = 2021-01-24 00:00:01 (UTC)
2021-01-25 06:00:01;2021-01-26 06:00:00;2021-01-25;0.0;G;;Tidsperiod (t.o.m.) = 2021-06-03 12:00:00 (UTC)
2021-01-26 06:00:01;2021-01-27 06:00:00;2021-01-26;0.0;G;;Värdet är summerat över = 24 timmar
2021-01-27 06:00:01;2021-01-28 06:00:00;2021-01-27;9.3;G;;
2021-01-28 06:00:01;2021-01-29 06:00:00;2021-01-28;0.7;G;;Kvalitetskoderna:
2021-01-29 06:00:01;2021-01-30 06:00:00;2021-01-29;0.7;G;;Grön (G) = Kontrollerade och godkända värden.
2021-01-30 06:00:01;2021-01-31 06:00:00;2021-01-30;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2021-01-31 06:00:01;2021-02-01 06:00:00;2021-01-31;0.0;G;;
2021-02-01 06:00:01;2021-02-02 06:00:00;2021-02-01;0.4;G;;Orsaker till saknade data:
2021-02-02 06:00:01;2021-02-03 06:00:00;2021-02-02;0.0;G;;  stationen eller givaren har varit ur funktion.
2021-02-03 06:00:01;2021-02-04 06:00:00;2021-02-03;0.1;G
2021-02-04 06:00:01;2021-02-05 06:00:00;2021-02-04;0.0;G
2021-02-05 06:00:01;2021-02-06 06:00:00;2021-02-05;0.0;G
2021-02-06 06:00:01;2021-02-07 06:00:00;2021-02-06;0.2;G
2021-02-07 06:00:01;2021-02-08 06:00:00;2021-02-07;0.0;G
2021-02-08 06:00:01;2021-02-09 06:00:00;2021-02-08;0.8;G
2021-02-09 06:00:01;2021-02-10 06:00:00;2021-02-09;0.3;G
2021-02-10 06:00:01;2021-02-11 06:00:00;2021-02-10;0.2;G
2021-02-11 06:00:01;2021-02-12 06:00:00;2021-02-11;0.1;G
2021-02-12 06:00:01;2021-02-13 06:00:00;2021-02-12;0.0;G
2021-02-13 06:00:01;2021-02-14 06:00:00;2021-02-13;0.0;G
2021-02-14 06:00:01;2021-02-15 06:00:00;2021-02-14;0.0;G
2021-02-15 06:00:01;2021-02-16 06:00:00;2021-02-15;0.0;G
2021-02-16 06:00:01;2021-02-17 06:00:00;2021-02-16;0.0;G
2021-02-17 06:00:01;2021-02-18 06:00:00;2021-02-17;0.7;G
2021-02-18 06:00:01;2021-02-19 06:00:00;2021-02-18;0.0;G
2021-02-19 06:00:01;2021-02-20 06:00:00;2021-02-19;1.4;G
2021-02-20 06:00:01;2021-02-21 06:00:00;2021-02-20;0.0;G
2021-02-21 06:00:01;2021-02-22 06:00:00;2021-02-21;0.0;G
2021-02-22 06:00:01;2021-02-23 06:00:00;2021-02-22;0.0;G
2021-02-23 06:00:01;2021-02-24 06:00:00;2021-02-23;0.0;G
2021-02-24 06:00:01;2021-02-25 06:00:00;2021-02-24;0.1;G
2021-02-25 06:00:01;2021-02-26 06:00:00;2021-02-25;0.1;G
2021-02-26 06:00:01;2021-02-27 06:00:00;2021-02-26;0.0;G
2021-02-27 06:00:01;2021-02-28 06:00:00;2021-02-27;0.0;G
2021-02-28 06:00:01;2021-03-01 06:00:00;2021-02-28;0.0;G
2021-03-01 06:00:01;2021-03-02 06:00:00;2021-03-01;0.0;G
2021-03-02 06:00:01;2021-03-03 06:00:00;2021-03-02;0.0;G
2021-03-03 06:00:01;2021-03-04 06:00:00;2021-03-03;0.1;G
2021-03-04 06:00:01;2021-03-05 06:00:00;2021-03-04;0.0;G
2021-03-05 06:00:01;2021-03-06 06:00:00;2021-03-05;0.0;G
2021-03-06 06:00:01;2021-03-07 06:00:00;2021-03-06;1.2;G
2021-03-07 06:00:01;2021-03-08 06:00:00;2021-03-07;0.0;G
2021-03-08 06:00:01;2021-03-09 06:00:00;2021-03-08;0.0;G
2021-03-09 06:00:01;2021-03-10 06:00:00;2021-03-09;0.6;G
2021-03-10 06:00:01;2021-03-11 06:00:00;2021-03-10;0.0;G
2021-03-11 06:00:01;2021-03-12 06:00:00;2021-03-11;5.7;G
2021-03-12 06:00:01;2021-03-13 06:00:00;2021-03-12;0.6;G
2021-03-13 06:00:01;2021-03-14 06:00:00;2021-03-13;6.1;G
2021-03-14 06:00:01;2021-03-15 06:00:00;2021-03-14;1.2;G
2021-03-15 06:00:01;2021-03-16 06:00:00;2021-03-15;1.6;G
2021-03-16 06:00:01;2021-03-17 06:00:00;2021-03-16;0.3;G
2021-03-17 06:00:01;2021-03-18 06:00:00;2021-03-17;0.0;G
2021-03-18 06:00:01;2021-03-19 06:00:00;2021-03-18;0.0;G
2021-03-19 06:00:01;2021-03-20 06:00:00;2021-03-19;0.0;G
2021-03-20 06:00:01;2021-03-21 06:00:00;2021-03-20;0.0;G
2021-03-21 06:00:01;2021-03-22 06:00:00;2021-03-21;0.0;G
2021-03-22 06:00:01;2021-03-23 06:00:00;2021-03-22;0.0;G
2021-03-23 06:00:01;2021-03-24 06:00:00;2021-03-23;0.0;G
2021-03-24 06:00:01;2021-03-25 06:00:00;2021-03-24;0.2;G
2021-03-25 06:00:01;2021-03-26 06:00:00;2021-03-25;0.5;G
2021-03-26 06:00:01;2021-03-27 06:00:00;2021-03-26;0.0;G
2021-03-27 06:00:01;2021-03-28 06:00:00;2021-03-27;7.1;G
2021-03-28 06:00:01;2021-03-29 06:00:00;2021-03-28;3.0;G
2021-03-29 06:00:01;2021-03-30 06:00:00;2021-03-29;1.6;G
2021-03-30 06:00:01;2021-03-31 06:00:00;2021-03-30;0.1;G
2021-03-31 06:00:01;2021-04-01 06:00:00;2021-03-31;4.0;G
2021-04-01 06:00:01;2021-04-02 06:00:00;2021-04-01;0.0;G
2021-04-02 06:00:01;2021-04-03 06:00:00;2021-04-02;0.0;G
2021-04-03 06:00:01;2021-04-04 06:00:00;2021-04-03;0.0;G
2021-04-04 06:00:01;2021-04-05 06:00:00;2021-04-04;2.6;G
2021-04-05 06:00:01;2021-04-06 06:00:00;2021-04-05;0.4;G
2021-04-06 06:00:01;2021-04-07 06:00:00;2021-04-06;0.9;G
2021-04-07 06:00:01;2021-04-08 06:00:00;2021-04-07;0.0;G
2021-04-08 06:00:01;2021-04-09 06:00:00;2021-04-08;3.1;G
2021-04-09 06:00:01;2021-04-10 06:00:00;2021-04-09;1.8;G
2021-04-10 06:00:01;2021-04-11 06:00:00;2021-04-10;0.0;G
2021-04-11 06:00:01;2021-04-12 06:00:00;2021-04-11;17.8;G
2021-04-12 06:00:01;2021-04-13 06:00:00;2021-04-12;0.4;G
2021-04-13 06:00:01;2021-04-14 06:00:00;2021-04-13;1.3;G
2021-04-14 06:00:01;2021-04-15 06:00:00;2021-04-14;0.0;G
2021-04-15 06:00:01;2021-04-16 06:00:00;2021-04-15;0.0;G
2021-04-16 06:00:01;2021-04-17 06:00:00;2021-04-16;0.0;G
2021-04-17 06:00:01;2021-04-18 06:00:00;2021-04-17;0.0;G
2021-04-18 06:00:01;2021-04-19 06:00:00;2021-04-18;0.0;G
2021-04-19 06:00:01;2021-04-20 06:00:00;2021-04-19;0.0;G
2021-04-20 06:00:01;2021-04-21 06:00:00;2021-04-20;0.0;G
2021-04-21 06:00:01;2021-04-22 06:00:00;2021-04-21;4.8;G
2021-04-22 06:00:01;2021-04-23 06:00:00;2021-04-22;1.5;G
2021-04-23 06:00:01;2021-04-24 06:00:00;2021-04-23;0.0;G
2021-04-24 06:00:01;2021-04-25 06:00:00;2021-04-24;0.0;G
2021-04-25 06:00:01;2021-04-26 06:00:00;2021-04-25;0.0;G
2021-04-26 06:00:01;2021-04-27 06:00:00;2021-04-26;0.0;G
2021-04-27 06:00:01;2021-04-28 06:00:00;2021-04-27;0.0;G
2021-04-28 06:00:01;2021-04-29 06:00:00;2021-04-28;0.0;G
2021-04-29 06:00:01;2021-04-30 06:00:00;2021-04-29;0.0;G
2021-04-30 06:00:01;2021-05-01 06:00:00;2021-04-30;0.0;G
2021-05-01 06:00:01;2021-05-02 06:00:00;2021-05-01;0.1;G
2021-05-02 06:00:01;2021-05-03 06:00:00;2021-05-02;0.0;G
2021-05-03 06:00:01;2021-05-04 06:00:00;2021-05-03;2.4;G
2021-05-04 06:00:01;2021-05-05 06:00:00;2021-05-04;16.9;G
2021-05-05 06:00:01;2021-05-06 06:00:00;2021-05-05;11.2;G
2021-05-06 06:00:01;2021-05-07 06:00:00;2021-05-06;1.8;G
2021-05-07 06:00:01;2021-05-08 06:00:00;2021-05-07;0.1;G
2021-05-08 06:00:01;2021-05-09 06:00:00;2021-05-08;1.1;G
2021-05-09 06:00:01;2021-05-10 06:00:00;2021-05-09;4.5;G
2021-05-10 06:00:01;2021-05-11 06:00:00;2021-05-10;0.0;G
2021-05-11 06:00:01;2021-05-12 06:00:00;2021-05-11;0.0;G
2021-05-12 06:00:01;2021-05-13 06:00:00;2021-05-12;0.0;G
2021-05-13 06:00:01;2021-05-14 06:00:00;2021-05-13;0.0;G
2021-05-14 06:00:01;2021-05-15 06:00:00;2021-05-14;10.0;G
2021-05-15 06:00:01;2021-05-16 06:00:00;2021-05-15;5.0;G
2021-05-16 06:00:01;2021-05-17 06:00:00;2021-05-16;0.2;G
2021-05-17 06:00:01;2021-05-18 06:00:00;2021-05-17;0.8;G
2021-05-18 06:00:01;2021-05-19 06:00:00;2021-05-18;0.2;G
2021-05-19 06:00:01;2021-05-20 06:00:00;2021-05-19;0.0;G
2021-05-20 06:00:01;2021-05-21 06:00:00;2021-05-20;3.7;G
2021-05-21 06:00:01;2021-05-22 06:00:00;2021-05-21;0.4;G
2021-05-22 06:00:01;2021-05-23 06:00:00;2021-05-22;1.4;G
2021-05-23 06:00:01;2021-05-24 06:00:00;2021-05-23;4.4;G
2021-05-24 06:00:01;2021-05-25 06:00:00;2021-05-24;0.0;G
2021-05-25 06:00:01;2021-05-26 06:00:00;2021-05-25;10.6;G
2021-05-26 06:00:01;2021-05-27 06:00:00;2021-05-26;3.7;G
2021-05-27 06:00:01;2021-05-28 06:00:00;2021-05-27;0.1;G
2021-05-28 06:00:01;2021-05-29 06:00:00;2021-05-28;0.0;G
2021-05-29 06:00:01;2021-05-30 06:00:00;2021-05-29;0.0;G
2021-05-30 06:00:01;2021-05-31 06:00:00;2021-05-30;0.0;G
2021-05-31 06:00:01;2021-06-01 06:00:00;2021-05-31;0.0;G
2021-06-01 06:00:01;2021-06-02 06:00:00;2021-06-01;0.0;G
2021-06-02 06:00:01;2021-06-03 06:00:00;2021-06-02;0.0;G
