,date_time,CIE UV irradiance,Global irradiance,Direct normal irradiance,PAR,Direct horizontal irradiance,Diffuse irradiance
0,2021-03-01 00:00:00+00:00,157.9,2534.7,5812.5,1039.1,1892.0,642.6
1,2021-03-02 00:00:00+00:00,170.2,2450.5,5343.7,1035.7,1795.2,655.2
2,2021-03-03 00:00:00+00:00,101.6,1473.4,1761.9,612.1,478.1,995.3
3,2021-03-04 00:00:00+00:00,141.5,2610.8,5856.3,1059.8,2005.0,605.7
4,2021-03-05 00:00:00+00:00,135.2,2712.3,6617.6,1097.1,2057.7,654.8
5,2021-03-06 00:00:00+00:00,85.4,1324.6,739.2,553.0,244.3,1080.4
6,2021-03-07 00:00:00+00:00,153.2,2932.6,6670.9,1183.5,2339.7,593.0
7,2021-03-08 00:00:00+00:00,176.3,3162.3,7648.1,1274.4,2613.6,548.8
8,2021-03-09 00:00:00+00:00,67.1,1047.2,91.5,429.2,30.5,1016.7
9,2021-03-10 00:00:00+00:00,81.0,1115.0,805.5,451.4,121.8,993.3
10,2021-03-11 00:00:00+00:00,76.4,918.9,10.9,391.3,4.4,914.4
11,2021-03-12 00:00:00+00:00,76.6,1029.5,37.8,431.1,16.2,1013.2
12,2021-03-13 00:00:00+00:00,94.8,1290.1,354.4,539.3,169.2,1120.8
13,2021-03-14 00:00:00+00:00,85.2,1355.6,317.5,561.7,147.4,1208.1
14,2021-03-15 00:00:00+00:00,82.4,1073.4,29.5,454.3,14.1,1059.2
15,2021-03-16 00:00:00+00:00,132.4,2198.8,2192.3,916.0,1025.7,1173.1
16,2021-03-17 00:00:00+00:00,151.0,2490.4,3540.5,1029.3,1161.5,1328.7
17,2021-03-18 00:00:00+00:00,178.5,3186.4,4904.6,1309.5,2036.0,1150.5
18,2021-03-19 00:00:00+00:00,241.9,3891.5,8142.5,1575.7,3163.5,728.1
19,2021-03-20 00:00:00+00:00,136.2,1207.0,67.1,520.3,33.1,1173.9
20,2021-03-21 00:00:00+00:00,237.2,3404.5,5809.8,1403.5,2423.8,980.7
21,2021-03-22 00:00:00+00:00,227.9,2928.1,4340.8,1250.6,1722.8,1205.4
22,2021-03-23 00:00:00+00:00,244.6,3143.2,3846.4,1340.3,1845.5,1297.7
23,2021-03-24 00:00:00+00:00,132.6,1653.0,394.8,698.6,190.0,1463.1
24,2021-03-25 00:00:00+00:00,220.5,3120.8,3474.6,1311.4,1713.7,1407.1
25,2021-03-26 00:00:00+00:00,120.0,1663.6,411.1,698.7,165.2,1498.4
